Generated 0      programs,  absolute time: 0:00:00.000438,  relative time: 0:00:00.000438
Generated 10000  programs,  absolute time: 0:00:13.983685,  relative time: 0:00:13.983247
Generated 10000  programs,  absolute time: 0:00:13.984069,  relative time: 0:00:00.000384
Generated 20000  programs,  absolute time: 0:00:22.057279,  relative time: 0:00:08.073210
Generated 30000  programs,  absolute time: 0:00:30.040526,  relative time: 0:00:07.983247
Generated 40000  programs,  absolute time: 0:00:38.004115,  relative time: 0:00:07.963589
Generated 50000  programs,  absolute time: 0:00:45.980881,  relative time: 0:00:07.976766
Generated 50000  programs,  absolute time: 0:00:45.981254,  relative time: 0:00:00.000373
Generated 60000  programs,  absolute time: 0:00:53.990324,  relative time: 0:00:08.009070
Generated 60000  programs,  absolute time: 0:00:53.990728,  relative time: 0:00:00.000404
Generated 70000  programs,  absolute time: 0:01:02.131681,  relative time: 0:00:08.140953
Generated 80000  programs,  absolute time: 0:01:10.188248,  relative time: 0:00:08.056567
Generated 80000  programs,  absolute time: 0:01:10.188627,  relative time: 0:00:00.000379
Generated 80000  programs,  absolute time: 0:01:10.188991,  relative time: 0:00:00.000364
Generated 90000  programs,  absolute time: 0:01:18.183319,  relative time: 0:00:07.994328
Generated 90000  programs,  absolute time: 0:01:18.183697,  relative time: 0:00:00.000378
Generated 100000 programs,  absolute time: 0:01:26.281100,  relative time: 0:00:08.097403
Generated 100000 programs,  absolute time: 0:01:26.281469,  relative time: 0:00:00.000369
Generated 100000 programs,  absolute time: 0:01:26.281858,  relative time: 0:00:00.000389
Generated 100000 programs,  absolute time: 0:01:26.282220,  relative time: 0:00:00.000362
Generated 100000 programs,  absolute time: 0:01:26.282588,  relative time: 0:00:00.000368
Generated 100000 programs,  absolute time: 0:01:26.282948,  relative time: 0:00:00.000360
Generated 110000 programs,  absolute time: 0:01:34.431087,  relative time: 0:00:08.148139
Generated 120000 programs,  absolute time: 0:01:42.396933,  relative time: 0:00:07.965846
Generated 120000 programs,  absolute time: 0:01:42.397304,  relative time: 0:00:00.000371
Generated 120000 programs,  absolute time: 0:01:42.397620,  relative time: 0:00:00.000316
Generated 130000 programs,  absolute time: 0:01:50.320154,  relative time: 0:00:07.922534
Generated 130000 programs,  absolute time: 0:01:50.320514,  relative time: 0:00:00.000360
Generated 130000 programs,  absolute time: 0:01:50.320878,  relative time: 0:00:00.000364
Generated 130000 programs,  absolute time: 0:01:50.321235,  relative time: 0:00:00.000357
Generated 140000 programs,  absolute time: 0:01:58.311179,  relative time: 0:00:07.989944
Generated 150000 programs,  absolute time: 0:02:06.380923,  relative time: 0:00:08.069744
Generated 160000 programs,  absolute time: 0:02:14.486993,  relative time: 0:00:08.106070
Generated 170000 programs,  absolute time: 0:02:22.538579,  relative time: 0:00:08.051586
Generated 180000 programs,  absolute time: 0:02:30.494162,  relative time: 0:00:07.955583
Generated 180000 programs,  absolute time: 0:02:30.494537,  relative time: 0:00:00.000375
Generated 180000 programs,  absolute time: 0:02:30.494897,  relative time: 0:00:00.000360
Generated 180000 programs,  absolute time: 0:02:30.495268,  relative time: 0:00:00.000371
Generated 190000 programs,  absolute time: 0:02:38.612807,  relative time: 0:00:08.117539
Generated 200000 programs,  absolute time: 0:02:46.811037,  relative time: 0:00:08.198230
Generated 210000 programs,  absolute time: 0:02:54.852379,  relative time: 0:00:08.041342
Generated 210000 programs,  absolute time: 0:02:54.852769,  relative time: 0:00:00.000390
Generated 210000 programs,  absolute time: 0:02:54.853125,  relative time: 0:00:00.000356
Generated 220000 programs,  absolute time: 0:03:02.888365,  relative time: 0:00:08.035240
Generated 230000 programs,  absolute time: 0:03:10.922110,  relative time: 0:00:08.033745
Generated 230000 programs,  absolute time: 0:03:10.922477,  relative time: 0:00:00.000367
Generated 230000 programs,  absolute time: 0:03:10.922841,  relative time: 0:00:00.000364
Generated 240000 programs,  absolute time: 0:03:19.004776,  relative time: 0:00:08.081935
Generated 240000 programs,  absolute time: 0:03:19.005144,  relative time: 0:00:00.000368
Generated 240000 programs,  absolute time: 0:03:19.005511,  relative time: 0:00:00.000367
Generated 240000 programs,  absolute time: 0:03:19.005878,  relative time: 0:00:00.000367
Generated 180000 programs,  absolute time: 0:04:56.653290,  relative time: 0:00:00.000666
Generated 180000 programs,  absolute time: 0:04:56.653759,  relative time: 0:00:00.000469
Generated 190000 programs,  absolute time: 0:05:11.824859,  relative time: 0:00:15.171100
Generated 190000 programs,  absolute time: 0:05:11.825348,  relative time: 0:00:00.000489
Generated 190000 programs,  absolute time: 0:05:11.826038,  relative time: 0:00:00.000690
Generated 190000 programs,  absolute time: 0:05:11.826479,  relative time: 0:00:00.000441
Generated 190000 programs,  absolute time: 0:05:11.826944,  relative time: 0:00:00.000465
Generated 190000 programs,  absolute time: 0:05:11.827397,  relative time: 0:00:00.000453
Generated 200000 programs,  absolute time: 0:05:26.972777,  relative time: 0:00:15.145380
Generated 200000 programs,  absolute time: 0:05:26.973281,  relative time: 0:00:00.000504
Generated 200000 programs,  absolute time: 0:05:26.973742,  relative time: 0:00:00.000461
Generated 200000 programs,  absolute time: 0:05:26.974254,  relative time: 0:00:00.000512
Generated 210000 programs,  absolute time: 0:05:42.082775,  relative time: 0:00:15.108521
Generated 210000 programs,  absolute time: 0:05:42.083238,  relative time: 0:00:00.000463
Generated 220000 programs,  absolute time: 0:05:57.351292,  relative time: 0:00:15.268054
Generated 220000 programs,  absolute time: 0:05:57.351768,  relative time: 0:00:00.000476
Generated 230000 programs,  absolute time: 0:06:12.475178,  relative time: 0:00:15.123410
Generated 240000 programs,  absolute time: 0:06:27.637054,  relative time: 0:00:15.161876
Generated 240000 programs,  absolute time: 0:06:27.637483,  relative time: 0:00:00.000429
Generated 240000 programs,  absolute time: 0:06:27.637915,  relative time: 0:00:00.000432
Generated 240000 programs,  absolute time: 0:06:27.638387,  relative time: 0:00:00.000472
Generated 240000 programs,  absolute time: 0:06:27.638847,  relative time: 0:00:00.000460
Generated 250000 programs,  absolute time: 0:06:42.954087,  relative time: 0:00:15.315240
Generated 250000 programs,  absolute time: 0:06:42.954590,  relative time: 0:00:00.000503
Generated 250000 programs,  absolute time: 0:06:42.955058,  relative time: 0:00:00.000468
Generated 260000 programs,  absolute time: 0:06:58.192835,  relative time: 0:00:15.237777
Generated 270000 programs,  absolute time: 0:07:13.638265,  relative time: 0:00:15.445430
Generated 270000 programs,  absolute time: 0:07:13.638767,  relative time: 0:00:00.000502
Generated 280000 programs,  absolute time: 0:07:28.749684,  relative time: 0:00:15.110917
Generated 280000 programs,  absolute time: 0:07:28.750146,  relative time: 0:00:00.000462
Generated 280000 programs,  absolute time: 0:07:28.750596,  relative time: 0:00:00.000450
Generated 280000 programs,  absolute time: 0:07:28.751055,  relative time: 0:00:00.000459
Generated 280000 programs,  absolute time: 0:07:28.751513,  relative time: 0:00:00.000458
Generated 280000 programs,  absolute time: 0:07:28.751978,  relative time: 0:00:00.000465
Generated 280000 programs,  absolute time: 0:07:28.752454,  relative time: 0:00:00.000476
Generated 280000 programs,  absolute time: 0:07:28.752907,  relative time: 0:00:00.000453
Generated 280000 programs,  absolute time: 0:07:28.753360,  relative time: 0:00:00.000453
Generated 280000 programs,  absolute time: 0:07:28.753842,  relative time: 0:00:00.000482
Generated 280000 programs,  absolute time: 0:07:28.754307,  relative time: 0:00:00.000465
Generated 280000 programs,  absolute time: 0:07:28.754782,  relative time: 0:00:00.000475
Generated 290000 programs,  absolute time: 0:07:44.024772,  relative time: 0:00:15.269990
Generated 300000 programs,  absolute time: 0:07:59.144143,  relative time: 0:00:15.119371
Generated 300000 programs,  absolute time: 0:07:59.144628,  relative time: 0:00:00.000485
Generated 300000 programs,  absolute time: 0:07:59.145112,  relative time: 0:00:00.000484
Generated 300000 programs,  absolute time: 0:07:59.145541,  relative time: 0:00:00.000429
Generated 300000 programs,  absolute time: 0:07:59.146200,  relative time: 0:00:00.000659
Generated 300000 programs,  absolute time: 0:07:59.146672,  relative time: 0:00:00.000472
Generated 310000 programs,  absolute time: 0:08:14.590581,  relative time: 0:00:15.443909
Generated 320000 programs,  absolute time: 0:08:30.019397,  relative time: 0:00:15.428816
Generated 330000 programs,  absolute time: 0:08:45.521681,  relative time: 0:00:15.502284
Generated 340000 programs,  absolute time: 0:09:00.819114,  relative time: 0:00:15.297433
Generated 350000 programs,  absolute time: 0:09:15.989462,  relative time: 0:00:15.170348
Generated 350000 programs,  absolute time: 0:09:15.989943,  relative time: 0:00:00.000481
Generated 350000 programs,  absolute time: 0:09:15.990420,  relative time: 0:00:00.000477
Generated 350000 programs,  absolute time: 0:09:15.990851,  relative time: 0:00:00.000431
Generated 350000 programs,  absolute time: 0:09:15.991385,  relative time: 0:00:00.000534
Generated 350000 programs,  absolute time: 0:09:15.991861,  relative time: 0:00:00.000476
Generated 350000 programs,  absolute time: 0:09:15.992324,  relative time: 0:00:00.000463
Generated 360000 programs,  absolute time: 0:09:31.122935,  relative time: 0:00:15.130611
Generated 370000 programs,  absolute time: 0:09:46.362999,  relative time: 0:00:15.240064
Generated 370000 programs,  absolute time: 0:09:46.363542,  relative time: 0:00:00.000543
Generated 380000 programs,  absolute time: 0:10:01.648167,  relative time: 0:00:15.284625
Generated 390000 programs,  absolute time: 0:10:17.099260,  relative time: 0:00:15.451093
Generated 390000 programs,  absolute time: 0:10:17.099762,  relative time: 0:00:00.000502
Generated 390000 programs,  absolute time: 0:10:17.100218,  relative time: 0:00:00.000456
Generated 390000 programs,  absolute time: 0:10:17.100694,  relative time: 0:00:00.000476
Generated 400000 programs,  absolute time: 0:10:32.418585,  relative time: 0:00:15.317891
Generated 410000 programs,  absolute time: 0:10:47.447700,  relative time: 0:00:15.029115
Generated 420000 programs,  absolute time: 0:11:02.583406,  relative time: 0:00:15.135706
Generated 430000 programs,  absolute time: 0:11:17.891312,  relative time: 0:00:15.307906
Generated 430000 programs,  absolute time: 0:11:17.891835,  relative time: 0:00:00.000523
Generated 440000 programs,  absolute time: 0:11:32.919274,  relative time: 0:00:15.027439
Generated 440000 programs,  absolute time: 0:11:32.919770,  relative time: 0:00:00.000496
Generated 440000 programs,  absolute time: 0:11:32.920239,  relative time: 0:00:00.000469
Generated 440000 programs,  absolute time: 0:11:32.920707,  relative time: 0:00:00.000468
Generated 440000 programs,  absolute time: 0:11:32.921166,  relative time: 0:00:00.000459
Generated 440000 programs,  absolute time: 0:11:32.921648,  relative time: 0:00:00.000482
Generated 440000 programs,  absolute time: 0:11:32.922112,  relative time: 0:00:00.000464
Generated 440000 programs,  absolute time: 0:11:32.922574,  relative time: 0:00:00.000462
Generated 440000 programs,  absolute time: 0:11:32.923035,  relative time: 0:00:00.000461
Generated 440000 programs,  absolute time: 0:11:32.923498,  relative time: 0:00:00.000463
Generated 450000 programs,  absolute time: 0:11:48.216569,  relative time: 0:00:15.293071
Generated 460000 programs,  absolute time: 0:12:03.711047,  relative time: 0:00:15.494478
Generated 470000 programs,  absolute time: 0:12:18.864220,  relative time: 0:00:15.153173
Generated 470000 programs,  absolute time: 0:12:18.864717,  relative time: 0:00:00.000497
Generated 470000 programs,  absolute time: 0:12:18.865157,  relative time: 0:00:00.000440
Generated 470000 programs,  absolute time: 0:12:18.865645,  relative time: 0:00:00.000488
