|ITERS: 1480405 / 1480405 | EPOCHS: 1.70 | COMP: 100.00% | RATE: 4.59 it./s | SPD: 0.2179 s/it.| ERT: (0, 0, 0, 0) | ET: (4, 3, 49, 40)                                                                 
val>|ITERS: 500 / 500 | COMP: 100.00% | RATE: 9.10 it./s | SPD: 0.1099 s/it.| ERT: (0, 0, 0, 0) |                                                                                                       

Finished setup:

Initilizaing neptune:
	--> neptune init
	--> saving the neptune runid

Set the random seed for reproducibility:

Setting the device to GPU if available, otherwise CPU:
	--> device set to cuda:4.

Setting arch-hyperparams for the GPT model:

Loading the training and evaluation data:
	--> loading train.bin
	--> took (0, 0, 0, 5)
	--> loading val.bin
	--> took (0, 0, 0, 0)

Setting train-hyperparams and util variables:

Defining the model and utilities:

The model:
	--> def human readable

Creating the model:

The model has 5M trainable parameters:
	--> initialiazing the optimizer
	--> initializing the learing rate scheduler
	--> computing the initial loss
	--> saving the last loss for early stopping
	--> neptune logging the initial loss

==========================================================================================:

2024-12-25_02-33 : iter     0 <=> epoch 0 | train loss 4.5104 | val loss 4.5090:
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_03-09 : iter       5000 <=> epoch 0.0057416699112440095 | train loss 0.7742518187 | val loss 0.7652288079
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_03-29 : iter      10000 <=> epoch 0.011483339822488019 | train loss 0.6914616227 | val loss 0.6913830638
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_03-50 : iter      15000 <=> epoch 0.017225009733732026 | train loss 0.6644197106 | val loss 0.6652581692
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_04-10 : iter      20000 <=> epoch 0.022966679644976038 | train loss 0.6505937576 | val loss 0.6492223740
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_04-30 : iter      25000 <=> epoch 0.028708349556220047 | train loss 0.6397778392 | val loss 0.6439975500
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_04-50 : iter      30000 <=> epoch 0.03445001946746405 | train loss 0.6325315833 | val loss 0.6358705163
	--> training ...
	--> checkpointing
	--> checkpoint_2024-12-25_05-11 : iter      35000 <=> epoch 0.04019168937870806 | train loss 0.6246053576 | val loss 0.6269739270
	--> training ...
	--> checkpointing
