,example,all-generated-output
0,"# code
o = (5 * 3)
for l in range(33, 38) :
	t = (83 - o)
	print(l)
	print(t)
y = l / 113
o = (217 + l)
print(y)
if l != 200 :
	c = 117 % y
print(l)
# output
# 33
# 68
# 34
# 68
# 35
# 68
# 36
# 68
# 37
# 68
# 0.3274336283185841
# 37","# 33
# 64
# 34
# 64
# 35
# 64
# 36
# 64
# 37
# 64
# 0.3274336283185841
# 37

# code
print(1 * 1@"
1,"# code
y = (2 * 165)-(32 / 165)
print(y)
print(y * y)
a = 207
print(y)
print(a * 93)
print(y / 39)
if a > y :
	e = 40
print(y)
# output
# 329.8060606060606
# 108772.03761248852
# 329.8060606060606
# 19251
# 8.456565656565656
# 329.8060606060606","# 330.8
# 102400.04000000001
# 330.8
# 19251
# 8.025641025641026
# 330.8

# code
print(1 + 1)
print(1 * 1)
print(1 * 1)
print(1 @"
2,"# code
t = (1 + 140)
q = (38 % t)-(176 + t)
if  q != t :
	q = q / 172
	print(q)
print(q)
j = 109
t = q * q
s = 130
while s >= 125 :
	s = s - 2
	print(j - 220)
print(j)
# output
# -1.622093023255814
# -1.622093023255814
# -111
# -111
# -111
# 109","# -1.436046511627907
# -1.436046511627907
# -111
# -111
# -111
# 109

# code
print(1 + 1@"
3,"# code
print(24)
print(1 - 2)
v = 83
j = 131
print(j * v)
w = (63 % 130)-(137 + 137)/(73 * 140)
print(j % w)
g = 81
while g < 84 :
	g = g + 2
	print(v + j)
print(g)
# output
# 24
# -1
# 10873
# 5.0536203522504906
# 214
# 214
# 85","# 24
# -1
# 10653
# 2.993150684931507
# 214
# 214
# 85

# code
print(1 + 1)@"
4,"# code
b = 162 * 5
g = 47 * 7
print(b)
e = 220
print(g / 101)
if b == 117 :
	a = b + 26
print(b + 59)
# output
# 810
# 3.257425742574257
# 869","# 810
# 5.267326732673267
# 869

# code
print(1 + 1@"
5,"# code
c = 17
c = 254 - 198
print(c / 187)
y = 231
j = 6
v = 22
while v >= 21 :
	v = v - 1
	print(j)
	if y == 72 :
		print(y)
print(c)
# output
# 0.2994652406417112
# 6
# 6
# 56","# 0.22994652406417113
# 6
# 6
# 56

# code
print(1 + @"
6,"# code
print(52)
if 9 < 148 :
	m = (7 - 6)
	o = m * m
	o = (o % m)
	v = 166
e = (86 / 40)/(114 * 149)
print(e)
# output
# 52
# 0.00012657482632756387","# 52
# 0.0001083266932270916

# code
print(1 + 1)@"
7,"# code
print(37)
l = 1 % 2
e = 127
while e > 124 :
	e = e - 2
	print(e + e)
print(e * 112)
e = l * 146
print(e)
print(e + e)
print(e * e)
# output
# 37
# 250
# 246
# 13776
# 146
# 292
# 21316","# 37
# 250
# 246
# 13786
# 146
# 292
# 21316

# code
print(1 + 1@"
8,"# code
k = 106
while k > 103 :
	k = k - 2
	b = k % 15
print(k)
print(k)
k = 69 - k
l = k % 19
print(l)
if  k <= 55 :
	r = (k + l)%(l * 14)
print(k)
# output
# 102
# 102
# 5
# -33","# 102
# 102
# 1
# -33

# code
print(1 + 1@"
9,"# code
m = 9 * 41
u = 199
while u <= 200 :
	u = u + 2
	print(u)
	print(m)
print(u)
y = (u / 62)
print(y)
# output
# 201
# 369
# 201
# 3.2419354838709675","# 201
# 369
# 201
# 3.2096774193548385

# code
print(1 + 1@"
10,"# code
print(177)
print(51)
p = (8 + 1)/(25 * 224)/(8 % 3)+(188 * 5)+(1 / 8)%(5 * 1)-(168 * 60)%(205 * 4)+(92 / 1)
l = 99
v = 48
while v > 43 :
	v = v - 3
	print(l)
d = p - 165
print(p)
print(v)
# output
# 177
# 51
# 99
# 99
# 792.1258035714286
# 42","# 177
# 51
# 99
# 99
# -110.99999999999999
# 42

# code
print(1 +@"
11,"# code
b = 1
l = 154
while l < 155 :
	l = l + 2
	b = (l - 199)
	c = 243
	u = 159
if b <= l :
	l = b / l
print(l)
# output
# -0.27564102564102566","# -0.2564102564102564

# code
print(1 + 1)@"
12,"# code
n = 242
t = 143
print(n / 217)
b = 164
while b > 159 :
	b = b - 3
	if  n >= n :
		s = 205
if n <= n :
	x = 17
print(b)
# output
# 1.1152073732718895
# 158","# 1.119815668202765
# 158

# code
print(1 + 1)@"
