,example,all-generated-output
0,"# code
o = (5 * 3)
for l in range(33, 38) :
	t = (83 - o)
	print(l)
	print(t)
y = l / 113
o = (217 + l)
print(y)
if l != 200 :
	c = 117 % y
print(l)
# output
# 33
# 68
# 34
# 68
# 35
# 68
# 36
# 68
# 37
# 68
# 0.3274336283185841
# 37","# 33
# 68
# 34
# 68
# 35
# 68
# 36
# 68
# 37
# 68
# 0.3185840707964602
# 37

# code
print(1 * 1@"
1,"# code
y = (2 * 165)-(32 / 165)
print(y)
print(y * y)
a = 207
print(y)
print(a * 93)
print(y / 39)
if a > y :
	e = 40
print(y)
# output
# 329.8060606060606
# 108772.03761248852
# 329.8060606060606
# 19251
# 8.456565656565656
# 329.8060606060606","# 331.8060606060606
# 100000.0606060606
# 331.8060606060606
# 19841
# 6.102564102564102
# 331.8060606060606

# code
print(1 - 1)@"
2,"# code
t = (1 + 140)
q = (38 % t)-(176 + t)
if  q != t :
	q = q / 172
	print(q)
print(q)
j = 109
t = q * q
s = 130
while s >= 125 :
	s = s - 2
	print(j - 220)
print(j)
# output
# -1.622093023255814
# -1.622093023255814
# -111
# -111
# -111
# 109","# -1.3255813953488371
# -1.3255813953488371
# -111
# -111
# -111
# 109

# code
print(1 *@"
3,"# code
for t in range(67, 72, 2) :
	print(t)
t = 19 / 229
e = (124 % 112)
d = 112
if not t > t :
	a = 147
	e = t / d
print(t)
# output
# 67
# 69
# 71
# 0.08296943231441048","# 67
# 69
# 71
# 0.0893854748603352

# code
print(1 * 1)@"
4,"# code
print(24)
print(1 - 2)
v = 83
j = 131
print(j * v)
w = (63 % 130)-(137 + 137)/(73 * 140)
print(j % w)
g = 81
while g < 84 :
	g = g + 2
	print(v + j)
print(g)
# output
# 24
# -1
# 10873
# 5.0536203522504906
# 214
# 214
# 85","# 24
# -1
# 10053
# 131.0
# 214
# 214
# 85

# code
print(1 * 1)
print(1 * 1@"
5,"# code
b = 162 * 5
g = 47 * 7
print(b)
e = 220
print(g / 101)
if b == 117 :
	a = b + 26
print(b + 59)
# output
# 810
# 3.257425742574257
# 869","# 810
# 5.663366336633663
# 909

# code
print(1 * 1@"
6,"# code
c = 17
c = 254 - 198
print(c / 187)
y = 231
j = 6
v = 22
while v >= 21 :
	v = v - 1
	print(j)
	if y == 72 :
		print(y)
print(c)
# output
# 0.2994652406417112
# 6
# 6
# 56","# 0.21390374331550802
# 6
# 6
# 56

# code
print(1 * @"
7,"# code
print(52)
if 9 < 148 :
	m = (7 - 6)
	o = m * m
	o = (o % m)
	v = 166
e = (86 / 40)/(114 * 149)
print(e)
# output
# 52
# 0.00012657482632756387","# 52
# 0.00011033333333333333

# code
print(1 - 1@"
8,"# code
for f in range(87, 90) :
	s = 166
print(f)
f = (94 - f)
print(f)
b = 127
if  b >= 149 :
	b = b / f
print(b)
# output
# 89
# 5
# 127","# 89
# -5
# 127

# code
print(1 * @"
9,"# code
print(37)
l = 1 % 2
e = 127
while e > 124 :
	e = e - 2
	print(e + e)
print(e * 112)
e = l * 146
print(e)
print(e + e)
print(e * e)
# output
# 37
# 250
# 246
# 13776
# 146
# 292
# 21316","# 37
# 250
# 246
# 13556
# 146
# 292
# 21316

# code
print(1 * 1@"
10,"# code
k = 106
while k > 103 :
	k = k - 2
	b = k % 15
print(k)
print(k)
k = 69 - k
l = k % 19
print(l)
if  k <= 55 :
	r = (k + l)%(l * 14)
print(k)
# output
# 102
# 102
# 5
# -33","# 102
# 102
# 10
# -33

# code
print(1 * @"
11,"# code
m = 9 * 41
u = 199
while u <= 200 :
	u = u + 2
	print(u)
	print(m)
print(u)
y = (u / 62)
print(y)
# output
# 201
# 369
# 201
# 3.2419354838709675","# 201
# 369
# 201
# 3.2096774193548385

# code
print(1 * 1@"
12,"# code
print(177)
print(51)
p = (8 + 1)/(25 * 224)/(8 % 3)+(188 * 5)+(1 / 8)%(5 * 1)-(168 * 60)%(205 * 4)+(92 / 1)
l = 99
v = 48
while v > 43 :
	v = v - 3
	print(l)
d = p - 165
print(p)
print(v)
# output
# 177
# 51
# 99
# 99
# 792.1258035714286
# 42","# 177
# 51
# 99
# 99
# 945.0000000000001
# 42

# code
print(1 * 1@"
13,"# code
b = 1
l = 154
while l < 155 :
	l = l + 2
	b = (l - 199)
	c = 243
	u = 159
if b <= l :
	l = b / l
print(l)
# output
# -0.27564102564102566","# -0.39473684210526316

# code
print(1 * 1@"
14,"# code
n = 242
t = 143
print(n / 217)
b = 164
while b > 159 :
	b = b - 3
	if  n >= n :
		s = 205
if n <= n :
	x = 17
print(b)
# output
# 1.1152073732718895
# 158","# 1.1111111111111112
# 158

# code
print(1 * 1@"
15,"# code
l = 13
while l <= 14 :
	l = l + 1
	print(l * 168)
i = 139
print(i * i)
print(i)
if l == l :
	print(i)
print(i)
print(i)
# output
# 2352
# 2520
# 19321
# 139
# 139
# 139
# 139","# 2392
# 256
# 19321
# 139
# 139
# 139
# 139

# code
print(1 * 1)@"
16,"# code
u = 44
print(u)
d = 86 % 42
for o in range(195, 198) :
	u = d % 196
	print(d)
	print(d)
	print(o % d)
print(o / 165)
print(u)
print(u)
# output
# 44
# 2
# 2
# 1
# 2
# 2
# 0
# 2
# 2
# 1
# 1.1939393939393939
# 2
# 2","# 44
# 4
# 4
# 1
# 4
# 4
# 2
# 4
# 4
# 1
# 1.1696969696969697
# 4
# 4

# code
print(1 * 1@"
17,"# code
print(194)
print(3 + 2)
o = 49
while o < 54 :
	o = o + 3
	f = 1
o = 47 + o
print(o - 195)
if o != o :
	i = 72
print(o / 63)
# output
# 194
# 5
# -93
# 1.619047619047619","# 194
# 5
# -82
# 1.3015873015873016

# code
print(1 * @"
18,"# code
x = 215 - 2
x = (133 % x)
x = (141 / x)
print(x)
for g in range(233, 234, 1) :
	print(x)
	print(x)
if  x > 40 :
	g = x * 96
z = 153
print(x)
# output
# 1.0601503759398496
# 1.0601503759398496
# 1.0601503759398496
# 1.0601503759398496","# 1.1304347826086956
# 1.1304347826086956
# 1.1304347826086956
# 1.1304347826086956

# code
print(1 * 1@"
19,"# code
t = 241
while t <= 246 :
	t = t + 3
	a = 213
	o = (t / 233)-(t + 82)/(222 + 30)
	d = 5
l = (73 - t)
a = 222
f = 120
print(f)
print(t % f)
# output
# 120
# 7","# 120
# 107

# code
print(1 *@"
20,"# code
d = 2 - 238
i = 35
while i < 36 :
	i = i + 2
	d = d + 188
d = (216 * 211)/(106 - d)/(25 + 250)*(225 % d)
s = 7
d = (125 + s)
s = 52 / 111
print(s / d)
# output
# 0.003549003549003549","# 0.003401360544217687

# code
print(1 * 1@"
21,"# code
m = 7 + 232
g = 244
while g >= 239 :
	g = g - 3
	if not g != m :
		m = m % g
		print(g)
g = (m + m)
print(g)
# output
# 478","# 468

# code
print(1 * 1@"
22,"# code
for f in range(166, 167) :
	print(f / f)
c = f + 36
j = c % 37
print(j)
j = (8 / f)
c = f % 218
if  j > c :
	f = f * c
	print(c % 27)
print(f)
# output
# 1.0
# 17
# 166","# 1.0
# 1
# 166

# code
print(1 * 1)@"
23,"# code
o = 170
if not o >= 27 :
	o = (147 / 101)
	print(o)
else :
	p = 244
	print(o - 218)
	p = (p + 29)/(29 / 68)/(o - 181)+(222 - o)
	o = 26
o = 251 / o
print(o)
# output
# -48
# 9.653846153846153","# -48
# 8.066666666666666

# code
print(1 * 1@"
24,"# code
h = 82
t = 14
a = 217
while a > 216 :
	a = a - 2
	j = (a + 41)
	if t >= 20 :
		h = 48
		j = t / a
	elif  h != 149 :
		print(j)
print(h)
# output
# 256
# 82","# 0.06382978723404255

# code
@"
25,"# code
print(146)
c = 164
c = (c - 117)*(c * c)*(c - c)
c = (237 + c)%(198 - c)-(c + c)
b = (c - c)*(c + c)
print(c)
h = 170
for d in range(202, 203) :
	if not h < 243 :
		print(h)
print(c)
# output
# 146
# 39
# 39","# 146
# 237
# 237

# code
print(1 *@"
26,"# code
x = 184
c = 86
while c <= 91 :
	c = c + 2
	b = (219 - c)%(c % x)
print(c + 144)
c = c + 143
if  x > x :
	print(c)
	print(x)
print(c / 198)
# output
# 236
# 1.1868686868686869","# 236
# 1.101010101010101

# code
print(1 * 1)@"
27,"# code
d = (2 * 18)*(3 / 7)/(99 + 119)-(23 / 22)
n = 106
r = 67
while r <= 72 :
	r = r + 3
	if d < 153 :
		print(n)
print(d)
# output
# 106
# 106
# -0.9746812820207316","# 106
# 106
# -0.10112359550561797

# code
print(1 * @"
28,"# code
t = 212
while t <= 213 :
	t = t + 2
	print(t)
n = (221 - t)/(200 - 157)-(244 + t)
n = (250 % n)
print(n)
if n > n :
	b = 77
	g = 18
print(t)
# output
# 214
# -207.83720930232556
# 214","# 214
# -211.0
# 214

# code
print(1 * 1)
print(1 * 1@"
29,"# code
if 3 < 4 :
	print(242)
	k = 251
z = 12 + 9
z = (z - 58)%(165 + 105)
z = z - 85
z = 16 - z
k = 138
k = z - z
if  z < z :
	print(z)
print(z + z)
# output
# 242
# -264","# 242
# -104

# code
print(1 * 1@"
30,"# code
for w in range(78, 79) :
	w = (218 % w)
	y = 30 - w
	print(w - w)
	print(w - 64)
	w = 5 % 93
	h = 208
print(w)
# output
# 0
# -2
# 5","# 0
# -10
# 5

# code
print(1 * @"
31,"# code
t = 144
while t >= 143 :
	t = t - 2
	if t == 131 :
		print(t)
		print(t / 67)
print(t)
x = (195 % 36)
w = 2 - x
if t != 182 :
	t = x % t
print(t + 219)
# output
# 142
# 234","# 142
# 220

# code
print(1 * 1@"
32,"# code
b = 90
print(b / 142)
print(b)
b = b + b
print(b)
print(b)
for a in range(32, 37, 3) :
	print(b * b)
	n = 175 + 171
print(b)
# output
# 0.6338028169014085
# 90
# 180
# 180
# 32400
# 32400
# 180","# 0.6619718309859155
# 90
# 180
# 180
# 32400
# 32400
# 180

# code
print(1 * 1@"
33,"# code
m = 183
w = 167
while w >= 162 :
	w = w - 2
	print(m)
w = (m / 74)-(m - 138)
t = 34
y = 225
print(w)
s = 91
print(w)
# output
# 183
# 183
# 183
# -42.527027027027025
# -42.527027027027025","# 183
# 183
# 183
# -44.08108108108108
# -44.08108108108108

# code
print(1 * 1)
@"
34,"# code
k = 94
h = 236
for e in range(166, 169) :
	print(e)
if e > k :
	h = (k % h)
	h = (16 / h)
print(h)
print(e - 6)
print(k * 20)
# output
# 166
# 167
# 168
# 0.1702127659574468
# 162
# 1880","# 166
# 167
# 168
# 236
# 162
# 1880

# code
print(1 * 1)
print(1 * 1)
@"
35,"# code
z = 255
while z < 258 :
	z = z + 2
	n = (37 / z)
	print(n)
	print(z)
	if n == n :
		print(n)
		x = 246
		f = n / n
print(z * z)
# output
# 0.14396887159533073
# 257
# 0.14396887159533073
# 0.14285714285714285
# 259
# 0.14285714285714285
# 67081","# 0.14960629921259844
# 257
# 0.14960629921259844
# 0.1488095238095238
# 259
# 0.1488095238095238
# 67081

# code
print(1 - 1)
@"
