,example,all-generated-output
0,"# code
o = (5 * 3)
for l in range(33, 38) :
	t = (83 - o)
	print(l)
	print(t)
y = l / 113
o = (217 + l)
print(y)
if l != 200 :
	c = 117 % y
print(l)
# output
# 33
# 68
# 34
# 68
# 35
# 68
# 36
# 68
# 37
# 68
# 0.3274336283185841
# 37","# 33
# 68
# 34
# 68
# 35
# 68
# 36
# 68
# 37
# 68
# 0.336283185840708
# 37

# code
print(1 * 1)@"
1,"# code
y = (2 * 165)-(32 / 165)
print(y)
print(y * y)
a = 207
print(y)
print(a * 93)
print(y / 39)
if a > y :
	e = 40
print(y)
# output
# 329.8060606060606
# 108772.03761248852
# 329.8060606060606
# 19251
# 8.456565656565656
# 329.8060606060606","# 339.86666666666664
# 117133.77777777777
# 339.86666666666664
# 19331
# 8.102564102564102
# 339.86666666666664

# code
print(1 @"
2,"# code
e = 5
while e > 2 :
	e = e - 2
	if e > 191 :
		y = 45 % 132
		print(y)
		c = 254
		y = e / 72
print(e)
e = 207 * e
print(e + e)
# output
# 1
# 414","# 1
# 1018

# code
print(1 - @"
3,"# code
t = (1 + 140)
q = (38 % t)-(176 + t)
if  q != t :
	q = q / 172
	print(q)
print(q)
j = 109
t = q * q
s = 130
while s >= 125 :
	s = s - 2
	print(j - 220)
print(j)
# output
# -1.622093023255814
# -1.622093023255814
# -111
# -111
# -111
# 109","# -2.011627906976744
# -2.011627906976744
# -111
# -111
# -111
# 109

# code
print(1 * 1@"
4,"# code
for t in range(67, 72, 2) :
	print(t)
t = 19 / 229
e = (124 % 112)
d = 112
if not t > t :
	a = 147
	e = t / d
print(t)
# output
# 67
# 69
# 71
# 0.08296943231441048","# 67
# 69
# 71
# 0.08733624454148471

# code
print(1 * 1@"
5,"# code
print(24)
print(1 - 2)
v = 83
j = 131
print(j * v)
w = (63 % 130)-(137 + 137)/(73 * 140)
print(j % w)
g = 81
while g < 84 :
	g = g + 2
	print(v + j)
print(g)
# output
# 24
# -1
# 10873
# 5.0536203522504906
# 214
# 214
# 85","# 24
# -1
# 10033
# 131.0
# 214.0
# 214.0
# 85

# code
print(1 * 1)
print(1@"
6,"# code
b = 162 * 5
g = 47 * 7
print(b)
e = 220
print(g / 101)
if b == 117 :
	a = b + 26
print(b + 59)
# output
# 810
# 3.257425742574257
# 869","# 810
# 3.712871287128713
# 969

# code
print(1 * 1@"
7,"# code
print(52)
if 9 < 148 :
	m = (7 - 6)
	o = m * m
	o = (o % m)
	v = 166
e = (86 / 40)/(114 * 149)
print(e)
# output
# 52
# 0.00012657482632756387","# 52
# 0.00011111111111111111

# code
print(1 - 1@"
8,"# code
print(37)
l = 1 % 2
e = 127
while e > 124 :
	e = e - 2
	print(e + e)
print(e * 112)
e = l * 146
print(e)
print(e + e)
print(e * e)
# output
# 37
# 250
# 246
# 13776
# 146
# 292
# 21316","# 37
# 250
# 246
# 13576
# 146
# 292
# 21316

# code
print(1 * 1@"
9,"# code
k = 106
while k > 103 :
	k = k - 2
	b = k % 15
print(k)
print(k)
k = 69 - k
l = k % 19
print(l)
if  k <= 55 :
	r = (k + l)%(l * 14)
print(k)
# output
# 102
# 102
# 5
# -33","# 102
# 102
# 1
# -33

# code
print(1 * 1@"
10,"# code
m = 9 * 41
u = 199
while u <= 200 :
	u = u + 2
	print(u)
	print(m)
print(u)
y = (u / 62)
print(y)
# output
# 201
# 369
# 201
# 3.2419354838709675","# 201
# 369
# 201
# 3.2903225806451615

# code
print(1 * 1@"
11,"# code
print(177)
print(51)
p = (8 + 1)/(25 * 224)/(8 % 3)+(188 * 5)+(1 / 8)%(5 * 1)-(168 * 60)%(205 * 4)+(92 / 1)
l = 99
v = 48
while v > 43 :
	v = v - 3
	print(l)
d = p - 165
print(p)
print(v)
# output
# 177
# 51
# 99
# 99
# 792.1258035714286
# 42","# 177
# 51
# 99
# 99
# -164.98809523809524
# 42

# code
print(1 *@"
12,"# code
b = 1
l = 154
while l < 155 :
	l = l + 2
	b = (l - 199)
	c = 243
	u = 159
if b <= l :
	l = b / l
print(l)
# output
# -0.27564102564102566","# -0.23076923076923078

# code
print(1 - 1@"
