,example,all-generated-output
0,"# code
o = (5 * 3)
for l in range(33, 38) :
	t = (83 - o)
	print(l)
	print(t)
y = l / 113
o = (217 + l)
print(y)
if l != 200 :
	c = 117 % y
print(l)
# output
# 33
# 68
# 34
# 68
# 35
# 68
# 36
# 68
# 37
# 68
# 0.3274336283185841
# 37","# 33
# 60
# 34
# 60
# 35
# 60
# 36
# 60
# 37
# 60
# 0.3274336283185841
# 37

# code
print(1 * 1@"
1,"# code
y = (2 * 165)-(32 / 165)
print(y)
print(y * y)
a = 207
print(y)
print(a * 93)
print(y / 39)
if a > y :
	e = 40
print(y)
# output
# 329.8060606060606
# 108772.03761248852
# 329.8060606060606
# 19251
# 8.456565656565656
# 329.8060606060606","# 331.8060606060606
# 114496.06451612902
# 331.8060606060606
# 19731
# 10.051282051282051
# 331.8060606060606

# code
print(1 * @"
2,"# code
t = (1 + 140)
q = (38 % t)-(176 + t)
if  q != t :
	q = q / 172
	print(q)
print(q)
j = 109
t = q * q
s = 130
while s >= 125 :
	s = s - 2
	print(j - 220)
print(j)
# output
# -1.622093023255814
# -1.622093023255814
# -111
# -111
# -111
# 109","# -1.4069767441860466
# -1.4069767441860466
# -111
# -111
# -111
# 109

# code
print(1 *@"
3,"# code
print(24)
print(1 - 2)
v = 83
j = 131
print(j * v)
w = (63 % 130)-(137 + 137)/(73 * 140)
print(j % w)
g = 81
while g < 84 :
	g = g + 2
	print(v + j)
print(g)
# output
# 24
# -1
# 10873
# 5.0536203522504906
# 214
# 214
# 85","# 24
# -1
# 10013
# -1.0066666666666666
# 214
# 214
# 85

# code
print(1 * @"
4,"# code
b = 162 * 5
g = 47 * 7
print(b)
e = 220
print(g / 101)
if b == 117 :
	a = b + 26
print(b + 59)
# output
# 810
# 3.257425742574257
# 869","# 810
# 4.405940594059406
# 1019

# code
print(1 * @"
5,"# code
c = 17
c = 254 - 198
print(c / 187)
y = 231
j = 6
v = 22
while v >= 21 :
	v = v - 1
	print(j)
	if y == 72 :
		print(y)
print(c)
# output
# 0.2994652406417112
# 6
# 6
# 56","# 0.32432432432432434
# 6
# 6
# 56

# code
print(1 * @"
6,"# code
print(52)
if 9 < 148 :
	m = (7 - 6)
	o = m * m
	o = (o % m)
	v = 166
e = (86 / 40)/(114 * 149)
print(e)
# output
# 52
# 0.00012657482632756387","# 52
# 0.000104166666666666666

# code
print(1 * @"
7,"# code
for f in range(87, 90) :
	s = 166
print(f)
f = (94 - f)
print(f)
b = 127
if  b >= 149 :
	b = b / f
print(b)
# output
# 89
# 5
# 127","# 89
# 7
# 127

# code
print(1 * 1@"
8,"# code
print(37)
l = 1 % 2
e = 127
while e > 124 :
	e = e - 2
	print(e + e)
print(e * 112)
e = l * 146
print(e)
print(e + e)
print(e * e)
# output
# 37
# 250
# 246
# 13776
# 146
# 292
# 21316","# 37
# 250
# 246
# 13056
# 146
# 292
# 21316

# code
print(1 * 1@"
9,"# code
k = 106
while k > 103 :
	k = k - 2
	b = k % 15
print(k)
print(k)
k = 69 - k
l = k % 19
print(l)
if  k <= 55 :
	r = (k + l)%(l * 14)
print(k)
# output
# 102
# 102
# 5
# -33","# 102
# 102
# 10
# -23

# code
print(1 * @"
