Generated 0       programs,  absolute time: 0:00:00.018161,  relative time: 0:00:00.018161
Generated 10000   programs,  absolute time: 0:00:18.283392,  relative time: 0:00:18.265231
Generated 10000   programs,  absolute time: 0:00:18.283873,  relative time: 0:00:00.000481
Generated 10000   programs,  absolute time: 0:00:18.284539,  relative time: 0:00:00.000666
Generated 10000   programs,  absolute time: 0:00:18.285043,  relative time: 0:00:00.000504
Generated 10000   programs,  absolute time: 0:00:18.285499,  relative time: 0:00:00.000456
Generated 10000   programs,  absolute time: 0:00:18.286001,  relative time: 0:00:00.000502
Generated 20000   programs,  absolute time: 0:00:36.413744,  relative time: 0:00:18.127743
Generated 20000   programs,  absolute time: 0:00:36.414227,  relative time: 0:00:00.000483
Generated 20000   programs,  absolute time: 0:00:36.414859,  relative time: 0:00:00.000632
Generated 30000   programs,  absolute time: 0:00:54.811331,  relative time: 0:00:18.396472
Generated 30000   programs,  absolute time: 0:00:54.811815,  relative time: 0:00:00.000484
Generated 30000   programs,  absolute time: 0:00:54.812262,  relative time: 0:00:00.000447
Generated 30000   programs,  absolute time: 0:00:54.812701,  relative time: 0:00:00.000439
Generated 30000   programs,  absolute time: 0:00:54.813326,  relative time: 0:00:00.000625
Generated 30000   programs,  absolute time: 0:00:54.813782,  relative time: 0:00:00.000456
Generated 30000   programs,  absolute time: 0:00:54.814137,  relative time: 0:00:00.000355
Generated 30000   programs,  absolute time: 0:00:54.814582,  relative time: 0:00:00.000445
Generated 30000   programs,  absolute time: 0:00:54.815079,  relative time: 0:00:00.000497
Generated 30000   programs,  absolute time: 0:00:54.815406,  relative time: 0:00:00.000327
Generated 30000   programs,  absolute time: 0:00:54.815878,  relative time: 0:00:00.000472
Generated 40000   programs,  absolute time: 0:01:12.906095,  relative time: 0:00:18.090217
Generated 40000   programs,  absolute time: 0:01:12.906564,  relative time: 0:00:00.000469
Generated 50000   programs,  absolute time: 0:01:31.219990,  relative time: 0:00:18.313426
Generated 50000   programs,  absolute time: 0:01:31.220460,  relative time: 0:00:00.000470
Generated 50000   programs,  absolute time: 0:01:31.220971,  relative time: 0:00:00.000511
Generated 50000   programs,  absolute time: 0:01:31.221388,  relative time: 0:00:00.000417
Generated 50000   programs,  absolute time: 0:01:31.221720,  relative time: 0:00:00.000332
Generated 50000   programs,  absolute time: 0:01:31.222211,  relative time: 0:00:00.000491
Generated 60000   programs,  absolute time: 0:01:49.617461,  relative time: 0:00:18.395250
Generated 60000   programs,  absolute time: 0:01:49.617936,  relative time: 0:00:00.000475
Generated 70000   programs,  absolute time: 0:02:08.319833,  relative time: 0:00:18.701897
Generated 70000   programs,  absolute time: 0:02:08.320302,  relative time: 0:00:00.000469
Generated 70000   programs,  absolute time: 0:02:08.320769,  relative time: 0:00:00.000467
Generated 70000   programs,  absolute time: 0:02:08.321245,  relative time: 0:00:00.000476
Generated 70000   programs,  absolute time: 0:02:08.321671,  relative time: 0:00:00.000426
Generated 70000   programs,  absolute time: 0:02:08.322115,  relative time: 0:00:00.000444
Generated 80000   programs,  absolute time: 0:02:26.678832,  relative time: 0:00:18.356717
Generated 80000   programs,  absolute time: 0:02:26.679311,  relative time: 0:00:00.000479
Generated 80000   programs,  absolute time: 0:02:26.679773,  relative time: 0:00:00.000462
Generated 80000   programs,  absolute time: 0:02:26.680404,  relative time: 0:00:00.000631
Generated 80000   programs,  absolute time: 0:02:26.680878,  relative time: 0:00:00.000474
Generated 80000   programs,  absolute time: 0:02:26.681359,  relative time: 0:00:00.000481
Generated 90000   programs,  absolute time: 0:02:45.063432,  relative time: 0:00:18.382073
Generated 100000  programs,  absolute time: 0:03:03.498584,  relative time: 0:00:18.435152
Generated 110000  programs,  absolute time: 0:03:21.881721,  relative time: 0:00:18.383137
Generated 110000  programs,  absolute time: 0:03:21.882253,  relative time: 0:00:00.000532
